Pop_65+,Haq_Ind,UV,SolarRad,Avg_Wind,Rel_humidity,BG_Opos,BG_Apos,BG_Bpos,BG_ABPos,BG_Oneg,BG_Aneg,BG_Bneg,BG_ABNeg,VitD,VitA,pop_Density,StringyInd,AnemiaData,PM25,DailyTemp,Precipitation,DailyCases,DailyDeath,CFR,TotPop,CSR
12.1,94,4,11.6,15,57.25,39,36,7.6,2.5,7,6,1.4,0.5,20,0,1360.9,72.69,9.3,14,6,52.21253205,5573,92,0.016508164,932546,0.005976113
19.8,89,6,12.4,36,72.7,37.4,35.7,8.5,3.4,6.6,6.3,1.5,0.6,35.5,0,44,72.69,13.2,29,30.6,120.3205366,13,0,0,30032,0.000432872
19.87,94,3,13.9,14,65.35,30,37,12,5,6,7,2,1,41.7,1,107.1279669,67.59,17.1,12,14.7,61.68704166,15531,589,0.037924152,8877067,0.001749564
6.82,48,7,9.4,8,77.5,31.8,21.4,34.58,8.85,1.39,0.96,0.96,0.64,80,3,1239.579312,89.81,39.6,118,25.3,219.7850562,8238,170,0.020636077,163046161,5.05E-05
11.12,78,6,24.4,12,55.5,47.7,27.8,18.9,5,0.28,0.19,0.1,0.03,90.2,1,1300,56.94,26.2,73,27.1,145.2291673,593,9,0.015177066,21516000,2.76E-05
19.21,93,5,11,12,75,36,37,9,3,6,7,1,1,51,0,377.3795905,81.48,16,19,10.9,60.10241675,49032,7703,0.157101485,11484055,0.004269572
9.21,64,6,20.2,9,80,36,34,8,2.5,9,8,2,0.5,77,2,25.06171624,77.31,26.8,93,21,69.01624257,92202,6412,0.06954296,211049527,0.000436874
15.5,94,3,11.6,12.5,73.15,39,36,7.6,2.5,7,6,1.4,0.5,20,0,5492.6,72.69,9.3,7,15,39.44050097,2145,112,0.052214452,631486,0.00339675
15.1,89,8,32.3,17.2,21.1,37.4,35.7,8.5,3.4,6.6,6.3,1.5,0.6,35.5,0,247.3,72.69,13.2,32,34.4,2.172322831,4225,206,0.048757396,2266715,0.001863931
12.7,89,7,13.8,13.4,67,37.4,35.7,8.5,3.4,6.6,6.3,1.5,0.6,35.5,0,2026.4,72.69,13.2,21,22.8,122.2112697,1749,96,0.054888508,760141,0.002300889
8.76,74,5,9.1,17,78,49.7,28.5,12.4,3,3.4,1.9,0.9,0.2,38.8,1,97.91306306,72.22,14.6,30,26,348.24745,725,6,0.008275862,5047561,0.000143634
20.23,89,3,19.8,27,71.5,27,36,15,7,5,6,3,1,27,1,137.6577053,57.41,25.7,32,12.9,60.78888355,7737,240,0.031019775,10669709,0.000725137
19.91,92,4,11.3,19,75,35,37,8,4,6,7,2,1,52,0,137.9765658,68.52,16.1,32,9,24.04764214,9311,460,0.049403931,5818553,0.001600226
22.26,96,5,21.9,16,65,28,35,16,7,5,6,2,1,65,0,18.14854727,60.19,15.7,19,6.3,44.67737149,5051,218,0.04315977,5520314,0.000914984
